,index,chatbot,user,dataset,date_today,id
14,14,Where is your farm located?,In <LOCATION>Nyabihu</LOCATION>.,train,2025-06-28,14
15,15,Where is your farm located?,In <LOCATION>Burera</LOCATION>.,train,2025-06-28,15
16,16,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-05-24"">5 weeks ago</TIMEX3>.",valid,2025-06-28,16
17,17,Where is your farm located?,In <LOCATION>Nyaruguru</LOCATION>.,train,2025-06-28,17
18,18,Where is your farm located?,In <LOCATION>Rulindo</LOCATION>.,train,2025-06-28,18
19,19,Where is your farm located?,In <LOCATION>Rulindo</LOCATION>.,train,2025-06-28,19
20,20,Which potato variety do you plant?,I plant <POTATO>German Butterball</POTATO>.,valid,2025-06-28,20
21,21,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-06-15"">1 weeks ago</TIMEX3>.",train,2025-06-28,21
22,22,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-05-30"">4 weeks ago</TIMEX3>.",test,2025-06-28,22
23,23,Which potato variety do you plant?,I plant <POTATO>La Ratte</POTATO>.,train,2025-06-28,23
24,24,When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-04-11"">I planted them 2 months ago</TIMEX3>.",train,2025-06-28,24
25,25,Where is your farm located?,In <LOCATION>Nyaruguru</LOCATION>.,train,2025-06-28,25
26,26,Which potato variety do you plant?,I plant <POTATO>New Potatoes</POTATO>.,train,2025-06-28,26
27,27,Which potato variety do you plant?,I plant <POTATO>La Ratte</POTATO>.,train,2025-06-28,27
28,28,Which potato variety do you plant?,I plant <POTATO>Fingerling</POTATO>.,train,2025-06-28,28
29,29,Which potato variety do you plant?,I plant <POTATO>New Potatoes</POTATO>.,train,2025-06-28,29
30,30,Where is your farm located?,In <LOCATION>Rulindo</LOCATION>.,train,2025-06-28,30
31,31,When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-03-08"">I planted them 3 months ago</TIMEX3>.",train,2025-06-28,31
32,32,Which potato variety do you plant?,I plant <POTATO>Fingerling</POTATO>.,train,2025-06-28,32
33,33,Where is your farm located?,In <LOCATION>Nyaruguru</LOCATION>.,train,2025-06-28,33
34,34,Which potato variety do you plant?,I plant <POTATO>Russian Banana</POTATO>.,test,2025-06-28,34
35,35,Where is your farm located?,In <LOCATION>Musanze</LOCATION>.,train,2025-06-28,35
36,36,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-05-08"">7 weeks ago</TIMEX3>.",train,2025-06-28,36
37,37,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-06-14"">2 weeks ago</TIMEX3>.",train,2025-06-28,37
38,38,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-05-18"">5 weeks ago</TIMEX3>.",train,2025-06-28,38
39,39,Where is your farm located?,In <LOCATION>Rubavu</LOCATION>.,train,2025-06-28,39
40,40,When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-03-24"">I planted them 3 months ago</TIMEX3>.",train,2025-06-28,40
41,41,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-05-18"">5 weeks ago</TIMEX3>.",test,2025-06-28,41
42,42,When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-03-07"">I planted them 3 months ago</TIMEX3>.",train,2025-06-28,42
43,43,Where is your farm located?,In <LOCATION>Burera</LOCATION>.,train,2025-06-28,43
44,44,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-05-07"">7 weeks ago</TIMEX3>.",train,2025-06-28,44
45,45,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-05-18"">5 weeks ago</TIMEX3>.",train,2025-06-28,45
46,46,Which potato variety do you plant?,I plant <POTATO>German Butterball</POTATO>.,train,2025-06-28,46
47,47,Where is your farm located?,In <LOCATION>Gicumbi</LOCATION>.,train,2025-06-28,47
48,48,When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-03-19"">I planted them 3 months ago</TIMEX3>.",train,2025-06-28,48
49,49,Where is your farm located?,In <LOCATION>Nyaruguru</LOCATION>.,valid,2025-06-28,49
50,50,Where is your farm located?,In <LOCATION>Karongi</LOCATION>.,train,2025-06-28,50
51,51,Where is your farm located?,In <LOCATION>Huye</LOCATION>.,test,2025-06-28,51
52,52,Which potato variety do you plant?,I plant <POTATO>Rose Finn Apple</POTATO>.,valid,2025-06-28,52
53,53,Which potato variety do you plant?,I plant <POTATO>Fingerling</POTATO>.,train,2025-06-28,53
54,54,Where is your farm located?,In <LOCATION>Rubavu</LOCATION>.,train,2025-06-28,54
55,55,Where is your farm located?,In <LOCATION>Huye</LOCATION>.,train,2025-06-28,55
56,56,Where is your farm located?,In <LOCATION>Karongi</LOCATION>.,train,2025-06-28,56
57,57,When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-02-28"">I planted them 4 months ago</TIMEX3>.",valid,2025-06-28,57
58,58,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-04-29"">8 weeks ago</TIMEX3>.",train,2025-06-28,58
59,59,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-06-10"">2 weeks ago</TIMEX3>.",train,2025-06-28,59
60,60,When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-04-25"">I planted them 2 months ago</TIMEX3>.",valid,2025-06-28,60
61,61,Which potato variety do you plant?,I plant <POTATO>La Ratte</POTATO>.,train,2025-06-28,61
62,62,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-04-30"">8 weeks ago</TIMEX3>.",train,2025-06-28,62
63,63,When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-04-10"">I planted them 2 months ago</TIMEX3>.",test,2025-06-28,63
64,64,When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-03-20"">I planted them 3 months ago</TIMEX3>.",train,2025-06-28,64
65,65,Which potato variety do you plant?,I plant <POTATO>New Potatoes</POTATO>.,train,2025-06-28,65
66,66,Which potato variety do you plant?,I plant <POTATO>Red Bliss</POTATO>.,train,2025-06-28,66
67,67,Where is your farm located?,In <LOCATION>Huye</LOCATION>.,train,2025-06-28,67
68,68,Where is your farm located?,In <LOCATION>Gicumbi</LOCATION>.,train,2025-06-28,68
69,69,Where is your farm located?,In <LOCATION>Nyabihu</LOCATION>.,train,2025-06-28,69
70,70,Where is your farm located?,In <LOCATION>Rulindo</LOCATION>.,train,2025-06-28,70
71,71,Which potato variety do you plant?,I plant <POTATO>La Ratte</POTATO>.,train,2025-06-28,71
72,72,When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-03-27"">I planted them 3 months ago</TIMEX3>.",train,2025-06-28,72
73,73,Which potato variety do you plant?,I plant <POTATO>German Butterball</POTATO>.,train,2025-06-28,73
74,74,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-06-16"">1 weeks ago</TIMEX3>.",train,2025-06-28,74
75,75,When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-03-14"">I planted them 3 months ago</TIMEX3>.",train,2025-06-28,75
76,76,When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-03-20"">I planted them 3 months ago</TIMEX3>.",train,2025-06-28,76
77,77,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-06-08"">2 weeks ago</TIMEX3>.",train,2025-06-28,77
78,78,Where is your farm located?,In <LOCATION>Nyaruguru</LOCATION>.,train,2025-06-28,78
79,79,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-05-03"">8 weeks ago</TIMEX3>.",train,2025-06-28,79
80,80,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-05-16"">6 weeks ago</TIMEX3>.",test,2025-06-28,80
81,81,When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-03-21"">I planted them 3 months ago</TIMEX3>.",train,2025-06-28,81
82,82,Which potato variety do you plant?,I plant <POTATO>German Butterball</POTATO>.,train,2025-06-28,82
83,83,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-06-04"">3 weeks ago</TIMEX3>.",train,2025-06-28,83
84,84,Where is your farm located?,In <LOCATION>Huye</LOCATION>.,train,2025-06-28,84
85,85,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-04-30"">8 weeks ago</TIMEX3>.",test,2025-06-28,85
86,86,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-05-05"">7 weeks ago</TIMEX3>.",train,2025-06-28,86
87,87,When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-03-07"">I planted them 3 months ago</TIMEX3>.",valid,2025-06-28,87
88,88,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-05-24"">5 weeks ago</TIMEX3>.",train,2025-06-28,88
89,89,Which potato variety do you plant?,I plant <POTATO>Red Bliss</POTATO>.,train,2025-06-28,89
90,90,Where is your farm located?,In <LOCATION>Nyamagabe</LOCATION>.,train,2025-06-28,90
91,91,When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-03-25"">I planted them 3 months ago</TIMEX3>.",train,2025-06-28,91
92,92,Which potato variety do you plant?,I plant <POTATO>Austrian Crescent</POTATO>.,train,2025-06-28,92
93,93,When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-04-15"">I planted them 2 months ago</TIMEX3>.",train,2025-06-28,93
94,94,Where is your farm located?,In <LOCATION>Nyabihu</LOCATION>.,train,2025-06-28,94
95,95,Where is your farm located?,In <LOCATION>Karongi</LOCATION>.,train,2025-06-28,95
96,96,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-05-04"">7 weeks ago</TIMEX3>.",train,2025-06-28,96
97,97,Which potato variety do you plant?,I plant <POTATO>Red Bliss</POTATO>.,test,2025-06-28,97
98,98,Where is your farm located?,In <LOCATION>Rulindo</LOCATION>.,train,2025-06-28,98
99,99,When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-03-17"">I planted them 3 months ago</TIMEX3>.",train,2025-06-28,99
100,100,Which potato variety do you plant?,I plant <POTATO>Red Bliss</POTATO>.,train,2025-06-28,100
101,101,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-06-14"">2 weeks ago</TIMEX3>.",train,2025-06-28,101
102,102,When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-03-10"">I planted them 3 months ago</TIMEX3>.",train,2025-06-28,102
103,103,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-06-21"">1 weeks ago</TIMEX3>.",train,2025-06-28,103
104,104,When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-03-06"">I planted them 3 months ago</TIMEX3>.",train,2025-06-28,104
105,105,When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-03-06"">I planted them 3 months ago</TIMEX3>.",train,2025-06-28,105
106,106,Which potato variety do you plant?,I plant <POTATO>Russian Banana</POTATO>.,train,2025-06-28,106
107,107,When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-03-19"">I planted them 3 months ago</TIMEX3>.",train,2025-06-28,107
108,108,Where is your farm located?,In <LOCATION>Nyamagabe</LOCATION>.,train,2025-06-28,108
109,109,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-06-06"">3 weeks ago</TIMEX3>.",train,2025-06-28,109
110,110,Which potato variety do you plant?,I plant <POTATO>Red Bliss</POTATO>.,train,2025-06-28,110
111,111,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-05-08"">7 weeks ago</TIMEX3>.",train,2025-06-28,111
112,112,Where is your farm located?,In <LOCATION>Karongi</LOCATION>.,train,2025-06-28,112
113,113,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-05-20"">5 weeks ago</TIMEX3>.",train,2025-06-28,113
114,114,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-06-19"">1 weeks ago</TIMEX3>.",train,2025-06-28,114
115,115,Where is your farm located?,In <LOCATION>Nyamagabe</LOCATION>.,train,2025-06-28,115
116,116,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-06-13"">2 weeks ago</TIMEX3>.",valid,2025-06-28,116
117,117,Where is your farm located?,In <LOCATION>Rulindo</LOCATION>.,train,2025-06-28,117
118,118,Which potato variety do you plant?,I plant <POTATO>French Fingerling</POTATO>.,train,2025-06-28,118
119,119,Which potato variety do you plant?,I plant <POTATO>New Potatoes</POTATO>.,train,2025-06-28,119
120,120,Where is your farm located?,In <LOCATION>Karongi</LOCATION>.,train,2025-06-28,120
121,121,Which potato variety do you plant?,I plant <POTATO>French Fingerling</POTATO>.,train,2025-06-28,121
122,122,Which potato variety do you plant?,I plant <POTATO>Austrian Crescent</POTATO>.,train,2025-06-28,122
123,123,When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-03-02"">I planted them 3 months ago</TIMEX3>.",valid,2025-06-28,123
124,124,Which potato variety do you plant?,I plant <POTATO>New Potatoes</POTATO>.,train,2025-06-28,124
125,125,When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-03-16"">I planted them 3 months ago</TIMEX3>.",train,2025-06-28,125
126,126,Where is your farm located?,In <LOCATION>Karongi</LOCATION>.,train,2025-06-28,126
127,127,Which potato variety do you plant?,I plant <POTATO>French Fingerling</POTATO>.,test,2025-06-28,127
128,128,When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-04-07"">I planted them 2 months ago</TIMEX3>.",train,2025-06-28,128
129,129,When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-03-09"">I planted them 3 months ago</TIMEX3>.",train,2025-06-28,129
130,130,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-05-07"">7 weeks ago</TIMEX3>.",train,2025-06-28,130
131,131,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-05-12"">6 weeks ago</TIMEX3>.",test,2025-06-28,131
132,132,Where is your farm located?,In <LOCATION>Karongi</LOCATION>.,train,2025-06-28,132
133,133,Where is your farm located?,In <LOCATION>Nyaruguru</LOCATION>.,train,2025-06-28,133
134,134,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-05-29"">4 weeks ago</TIMEX3>.",train,2025-06-28,134
135,135,Where is your farm located?,In <LOCATION>Rubavu</LOCATION>.,train,2025-06-28,135
136,136,When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-04-24"">I planted them 2 months ago</TIMEX3>.",train,2025-06-28,136
137,137,Where is your farm located?,In <LOCATION>Nyaruguru</LOCATION>.,train,2025-06-28,137
138,138,Which potato variety do you plant?,I plant <POTATO>French Fingerling</POTATO>.,train,2025-06-28,138
139,139,Which potato variety do you plant?,I plant <POTATO>Fingerling</POTATO>.,train,2025-06-28,139
140,140,Where is your farm located?,In <LOCATION>Nyamagabe</LOCATION>.,train,2025-06-28,140
141,141,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-06-15"">1 weeks ago</TIMEX3>.",test,2025-06-28,141
142,142,Which potato variety do you plant?,I plant <POTATO>Russian Banana</POTATO>.,train,2025-06-28,142
143,143,When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-04-04"">I planted them 2 months ago</TIMEX3>.",valid,2025-06-28,143
144,144,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-05-10"">7 weeks ago</TIMEX3>.",train,2025-06-28,144
145,145,When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-03-07"">I planted them 3 months ago</TIMEX3>.",train,2025-06-28,145
146,146,When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-03-30"">I planted them 3 months ago</TIMEX3>.",train,2025-06-28,146
147,147,Which potato variety do you plant?,I plant <POTATO>Fingerling</POTATO>.,train,2025-06-28,147
148,148,Which potato variety do you plant?,I plant <POTATO>Red Bliss</POTATO>.,train,2025-06-28,148
149,149,When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-03-26"">I planted them 3 months ago</TIMEX3>.",test,2025-06-28,149
150,150,Which potato variety do you plant?,I plant <POTATO>Austrian Crescent</POTATO>.,train,2025-06-28,150
151,151,Which potato variety do you plant?,I plant <POTATO>Red Bliss</POTATO>.,train,2025-06-28,151
152,152,Where is your farm located?,In <LOCATION>Rulindo</LOCATION>.,train,2025-06-28,152
153,153,Where is your farm located?,In <LOCATION>Burera</LOCATION>.,train,2025-06-28,153
154,154,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-05-28"">4 weeks ago</TIMEX3>.",train,2025-06-28,154
155,155,Where is your farm located?,In <LOCATION>Gicumbi</LOCATION>.,train,2025-06-28,155
156,156,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-04-30"">8 weeks ago</TIMEX3>.",train,2025-06-28,156
157,157,Which potato variety do you plant?,I plant <POTATO>New Potatoes</POTATO>.,train,2025-06-28,157
158,158,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-06-15"">1 weeks ago</TIMEX3>.",train,2025-06-28,158
159,159,Which potato variety do you plant?,I plant <POTATO>Rose Finn Apple</POTATO>.,train,2025-06-28,159
160,160,When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-04-08"">I planted them 2 months ago</TIMEX3>.",train,2025-06-28,160
161,161,Where is your farm located?,In <LOCATION>Nyaruguru</LOCATION>.,train,2025-06-28,161
162,162,Where is your farm located?,In <LOCATION>Musanze</LOCATION>.,train,2025-06-28,162
163,163,Where is your farm located?,In <LOCATION>Nyabihu</LOCATION>.,train,2025-06-28,163
164,164,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-06-09"">2 weeks ago</TIMEX3>.",valid,2025-06-28,164
165,165,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-06-13"">2 weeks ago</TIMEX3>.",train,2025-06-28,165
166,166,Which potato variety do you plant?,I plant <POTATO>French Fingerling</POTATO>.,test,2025-06-28,166
167,167,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-06-05"">3 weeks ago</TIMEX3>.",train,2025-06-28,167
168,168,When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-03-29"">I planted them 3 months ago</TIMEX3>.",train,2025-06-28,168
169,169,Which potato variety do you plant?,I plant <POTATO>French Fingerling</POTATO>.,test,2025-06-28,169
170,170,Which potato variety do you plant?,I plant <POTATO>Fingerling</POTATO>.,valid,2025-06-28,170
171,171,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-06-05"">3 weeks ago</TIMEX3>.",train,2025-06-28,171
172,172,Where is your farm located?,In <LOCATION>Gicumbi</LOCATION>.,valid,2025-06-28,172
173,173,Which potato variety do you plant?,I plant <POTATO>New Potatoes</POTATO>.,train,2025-06-28,173
174,174,When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-03-23"">I planted them 3 months ago</TIMEX3>.",train,2025-06-28,174
175,175,Where is your farm located?,In <LOCATION>Rulindo</LOCATION>.,train,2025-06-28,175
176,176,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-05-16"">6 weeks ago</TIMEX3>.",train,2025-06-28,176
177,177,Which potato variety do you plant?,I plant <POTATO>Red Bliss</POTATO>.,train,2025-06-28,177
178,178,Which potato variety do you plant?,I plant <POTATO>La Ratte</POTATO>.,valid,2025-06-28,178
179,179,Which potato variety do you plant?,I plant <POTATO>Russian Banana</POTATO>.,train,2025-06-28,179
180,180,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-05-16"">6 weeks ago</TIMEX3>.",train,2025-06-28,180
181,181,When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-04-18"">I planted them 2 months ago</TIMEX3>.",train,2025-06-28,181
182,182,Where is your farm located?,In <LOCATION>Huye</LOCATION>.,train,2025-06-28,182
183,183,Which potato variety do you plant?,I plant <POTATO>Russian Banana</POTATO>.,train,2025-06-28,183
184,184,Where is your farm located?,In <LOCATION>Nyamagabe</LOCATION>.,train,2025-06-28,184
185,185,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-05-07"">7 weeks ago</TIMEX3>.",train,2025-06-28,185
186,186,When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-03-07"">I planted them 3 months ago</TIMEX3>.",train,2025-06-28,186
187,187,Where is your farm located?,In <LOCATION>Karongi</LOCATION>.,test,2025-06-28,187
188,188,Which potato variety do you plant?,I plant <POTATO>Fingerling</POTATO>.,train,2025-06-28,188
189,189,Which potato variety do you plant?,I plant <POTATO>New Potatoes</POTATO>.,train,2025-06-28,189
190,190,Which potato variety do you plant?,I plant <POTATO>Russian Banana</POTATO>.,train,2025-06-28,190
191,191,When did you plant your potatoes?,"<TIMEX3 type=""DATE"" option=""PLANT_DATE"" value=""2025-04-28"">I planted them 2 months ago</TIMEX3>.",train,2025-06-28,191
192,192,Which potato variety do you plant?,I plant <POTATO>German Butterball</POTATO>.,train,2025-06-28,192
193,193,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-05-02"">8 weeks ago</TIMEX3>.",train,2025-06-28,193
194,194,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-05-04"">7 weeks ago</TIMEX3>.",train,2025-06-28,194
195,195,Which potato variety do you plant?,I plant <POTATO>Russian Banana</POTATO>.,train,2025-06-28,195
196,196,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-06-09"">2 weeks ago</TIMEX3>.",train,2025-06-28,196
197,197,Where is your farm located?,In <LOCATION>Rulindo</LOCATION>.,train,2025-06-28,197
198,198,When did you last spray your potatoes?,"I sprayed them <TIMEX3 type=""DATE"" option=""LAST_SPRAY_DATE"" value=""2025-05-20"">5 weeks ago</TIMEX3>.",train,2025-06-28,198
199,199,Which potato variety do you plant?,I plant <POTATO>French Fingerling</POTATO>.,train,2025-06-28,199
200,200,Which potato variety do you plant?,I plant <POTATO>La Ratte</POTATO>.,train,2025-06-28,200
201,201,Where is your farm located?,In <LOCATION>Karongi</LOCATION>.,valid,2025-06-28,201
